Ağırlık(kg),İşlemci Arttırılmış Frekans(GHz),İşlemci Çekirdek Sayısı,İşlemci Temel Frekans(GHz),İşlemci Önbelleği(MB),Ram(Bellek) Boyutu(GB),Ram(Bellek) Frekansı(MHz),Ekran Boyutu(inç),Harici Ekran Kartı Belleği(GB),İşlemci Skoru,Medyan Fiyat,Ekran Kartı Skoru
0.05087786259541984,0.0005161290322580645,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.150485807860262,0.004647341258633528,0.1746450973918785
0.024160305343511455,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0078125,0.2759375,0.14814814814814814,,0.034101528384279475,0.028301281228335945,0.1746450973918785
0.027977099236641222,0.000967741935483871,0.25,0.23404255319148937,0.21875,0.0234375,0.359375,0.14814814814814814,,0.01310807860262009,0.033436464939533214,
0.031793893129770996,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.011120087336244542,0.02095796852132385,0.1746450973918785
0.03561068702290076,0.9996774193548387,0.0,0.3404255319148936,0.0,0.0234375,0.19265625,0.14814814814814814,,0.00019104803493449787,0.016233599507022363,0.1746450973918785
0.016526717557251908,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.234375,0.0888888888888889,,0.0035589519650655018,0.006605130048527486,0.1746450973918785
,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.0035589519650655018,0.014275810717128405,
0.01270992366412214,,0.0,0.2127659574468085,0.0625,0.0078125,0.109375,0.09259259259259259,,0.013852620087336245,0.01844172850283719,
,,,,,0.0078125,,0.14814814814814814,,,0.016779212776337073,
0.02377862595419848,0.001032258064516129,0.125,0.12765957446808512,0.15625,0.0078125,0.2759375,0.14814814814814814,,0.014375545851528386,0.028878989395845635,0.1746450973918785
0.02950381679389313,0.0009999999999999998,0.0,,0.15625,0.0078125,0.2759375,0.14814814814814814,,0.01124235807860262,0.03753177394921303,0.1746450973918785
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0703125,0.359375,0.0888888888888889,,0.01124235807860262,0.031209079004801396,
0.03561068702290076,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.359375,0.14814814814814814,,0.014281659388646289,0.01764577502760161,
0.02950381679389313,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0546875,0.359375,0.14814814814814814,,0.015101528384279476,0.03172901635556012,0.1746450973918785
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.15625,0.0078125,,0.14814814814814814,,0.0029923580786026197,0.017003877063701954,0.1746450973918785
0.024541984732824432,0.0012903225806451613,0.125,0.12765957446808512,0.34375,0.0078125,0.359375,0.0888888888888889,,0.01124235807860262,0.021458648933165583,
0.031793893129770996,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0234375,0.359375,0.14814814814814814,,0.034101528384279475,0.029841836341695124,0.1746450973918785
0.026068702290076334,0.0008064516129032258,0.125,0.3404255319148936,0.09375,0.0390625,0.234375,0.14814814814814814,,0.0029923580786026197,0.025669499576347343,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0390625,0.359375,0.0888888888888889,,0.01124235807860262,0.02737052918068144,
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0390625,0.359375,0.14814814814814814,,0.009610262008733625,0.025027601612447686,0.1746450973918785
0.033702290076335885,0.0011935483870967743,0.0,0.042553191489361694,0.09375,0.0234375,0.234375,0.0888888888888889,0.041666666666666664,0.9987390829694324,0.02605463835468714,0.01381517129288671
0.03561068702290076,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.011120087336244542,0.023358666906308573,0.1746450973918785
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0078125,0.359375,0.14814814814814814,,0.009610262008733625,0.01962282075641256,0.1746450973918785
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0234375,0.359375,0.14814814814814814,,0.009610262008733625,0.024578273037717924,
0.7226335877862595,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0234375,0.359375,0.14814814814814814,,0.009610262008733625,0.020386679333453155,0.1746450973918785
0.031793893129770996,,,,,,,0.14814814814814814,,,0.020855264847099906,
0.02950381679389313,0.0009999999999999998,0.125,0.3617021276595745,0.21875,0.0234375,0.359375,0.14814814814814814,,0.011546943231441047,0.025932677741546204,
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0390625,0.359375,0.14814814814814814,,0.009610262008733625,0.02804452204277608,0.1746450973918785
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,0.2759375,0.14814814814814814,,0.0029923580786026197,0.02290933833157881,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0078125,0.359375,0.0888888888888889,,0.01124235807860262,0.027344853262125452,
0.026068702290076334,0.0009999999999999998,0.0,,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.022466428736488048,
0.03561068702290076,0.9996774193548387,0.0,0.3404255319148936,0.0,0.0234375,0.19265625,0.14814814814814814,,0.00019104803493449787,0.026632346522196832,0.1746450973918785
0.03942748091603053,,0.0,0.2978723404255319,0.0625,0.0078125,0.19265625,0.14814814814814814,,0.01124235807860262,0.01526433358153388,0.1746450973918785
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.029668523891442217,
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,,0.14814814814814814,,0.0029923580786026197,0.01982822810486045,
0.03561068702290076,0.9996774193548387,0.0,0.3404255319148936,0.0,0.0546875,0.19265625,0.14814814814814814,,0.00019104803493449787,0.02024546178139523,0.1746450973918785
0.03561068702290076,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.234375,0.14814814814814814,,0.0035589519650655018,0.014301486635684391,
0.024160305343511455,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.0251880761034226,0.1746450973918785
