İşlemci,İşlemci Serisi,İşlemci Modeli,Jenerasyon,Arttırılmış Frekans(GHz),Çekirdek,Temel Frekans(GHz),uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,İşlemci Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
Ryzen 5 Pro,AMD Ryzen,AMD Ryzen 5 PRO 4650G,4.Nesil,4.2,6.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-pro-4650g-3-7-ghz-11mb-am4-islemci-fiyatlari,645140771",AMD Ryzen 5 Pro 4650G 3.7 GHz 11MB AM4 İşlemci,2900.3,4463.0,16.317,3,18,308,299
Core i5,Intel Core,Intel Core i5-13600KF,10.Nesil,4.8,6.0,4.1,"https://www.cimri.com/islemci/en-ucuz-intel-i5-10600kf-4-10ghz-12mb-lga1200-14nm-islemci-fiyatlari,622927427",Intel i5 10600KF 4.10GHZ 12MB LGA1200 14nm İşlemci,3956.41,4189.0,38.395,0,136,380,136
Ryzen 5,AMD Ryzen,AMD Ryzen 5 4500,4.Nesil,4.1,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-4500-3-60-ghz-am4-mpk-islemci-fiyatlari,1847159561",AMD Ryzen 5 4500 3.60 GHz AM4 Mpk İşlemci,1853.01,1913.0,16.19,3,18,162,47
Core i7,Intel Core,Intel Core i7-13700KF,13.Nesil,5.4,16.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-13700kf-3-40-ghz-turbo-5-40-ghz-30-mb-cache-16-cekirdek-lga-1700-13-nesil-tray-islemci-fiyatlari,2077398744",Intel Core i7 13700KF 3.40 GHz Turbo 5.40 GHz 30 MB Cache 16 Çekirdek LGA 1700 13. Nesil Tray İşlemci,8613.53,9820.0,46.472,2,285,285,90
Core i5,İntel Core i5,Intel Core i5-12490F,4.Nesil,3.7,4.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-4590-3-3ghz-1150pin-islemci-fiyatlari,8233277",Intel Core i5 4590 3.30 GHz 1150Pin 4 Çekirdekli İşlemci,839.0,899.0,20.797,3,274,249,19
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600,5.Nesil,4.4,6.0,3.5,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600-mpk-4-4-ghz-35-mb-65-w-am4-anakart-islemci-fiyatlari,2065452465",AMD RYZEN 5 5600-MPK 4.4 Ghz 35 MB 65 W AM4 Anakart İşlemci,2934.66,3404.0,21.539,3,0,315,67
Core 2 Duo,İntel Core 2 Duo,Intel Core2 Duo E8400 @ 3.00GHz,,3.0,2.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-core-2-duo-e8400-3ghz-775pin-islemci-fiyatlari,959247",Intel Core 2 Duo E8400 3.00 GHz Çift Çekirdekli İşlemci,228.0,238.0,1.176,5,288,229,104
Intel,Core i7,Intel Core i7-13700,10.Nesil,4.8,8.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-10700-soket-1200-2-9ghz-16mb-islemci-fiyatlari,614840668",Intel Core i7 10700 Soket 1200 2.9Ghz 16MB İşlemci,5162.04,5983.0,40.028,6,25,114,132
Core i3,Intel Core,Intel Core i3-13100F,10.Nesil,4.4,4.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-10105f-soket-1200-10-nesil-3-70ghz-6mb-onbellek-14nm-islemci-fiyatlari,854798754",Intel Core i3 10105F Soket 1200 10. Nesil 3.70GHz 6MB Önbellek 14nm İşlemci,1524.11,1732.0,15.378,3,87,85,336
Ryzen 3,AMD Ryzen,AMD Ryzen 3 4100,4.Nesil,4.0,4.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-4100-3-80-ghz-6-mb-am4-mpk-islemci-fiyatlari,1561682317",AMD Ryzen 3 4100 3.80 GHz 6 MB AM4 MPK İşlemci,1639.48,1800.0,11.133,3,158,158,22
Core i5,Intel Core,Intel Core i5-13600K,11.Nesil,4.9,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-11600k-3-9-ghz-12mb-lga1200p-islemci-fiyatlari,772528423",Intel Core i5-11600K 3.9 Ghz 12MB LGA1200P İşlemci,5781.55,6469.0,38.459,0,7,354,156
Ryzen 5,AMD Ryzen 5,AMD Ryzen 5 2600X,,3.9,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-2600x-3-6ghz-am4-soket-19mb-onbellek-65w-14nm-islemci-fiyatlari,76448123",AMD Ryzen 5 2600X 4.2GHz 6 Çekirdekli İşlemci,2498.0,3554.0,13.987,3,11,3,162
Core i7,Intel Core,Intel Core i7-13700F,11.Nesil,4.9,8.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-11700f-3-60ghz-5-0ghz-16mb-1200p-islemci-fiyatlari,842322343",Intel Core i7-11700F 3.60GHz 5.0Ghz 16MB 1200P İşlemci,5385.0,6079.0,38.686,6,12,234,179
Core i3,İntel Core i3,Intel Core i3-1220P,,3.3,2.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-3220-3-3ghz-1155pin-islemci-fiyatlari,335847",Intel Core i3 3220 3.30 GHz Çift Çekirdekli 1155Pin İşlemci,523.44,678.0,15.157,3,105,257,309
Core i3,Intel Core,Intel Core i3-12100F,12.Nesil,4.3,4.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-i3-12100f-3-60-ghz-6-m-fclga1200-box-fanli-islemci-fiyatlari,1355135934",Intel İ3 12100F 3.60 Ghz 6 m FCLGA1200 Box Fanlı İşlemci,2728.0,2794.0,14.321,3,227,345,139
Intel,Core i7,Intel Core i7-13700KF,10.Nesil,5.1,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-10700kf-soket-1200-3-8ghz-16mb-islemci-fiyatlari,615539069",Intel Core i7 10700KF Soket 1200 3.8Ghz 16MB İşlemci,7499.0,8166.0,46.472,0,57,29,241
Intel,Core i5,Intel Core i5-13600K,10.Nesil,4.8,6.0,4.1,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-10600k-4-1-ghz-12mb-lga1200p-islemci-fiyatlari,618210221",Intel Core i5-10600K 4.1 Ghz 12MB LGA1200P İşlemci,4579.99,5875.0,38.459,0,7,206,136
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600,5.Nesil,4.4,6.0,3.5,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600-soket-am4-3-5ghz-32mb-65w-7nm-islemci-fiyatlari,2037865685",AMD Ryzen 5 5600 Soket AM4 3.5GHz 32MB 65W 7nm İşlemci,3234.4,3273.0,21.539,3,172,315,20
Athlon,AMD Athlon,AMD Athlon 3000G,,3.5,2.0,3.5,"https://www.cimri.com/islemci/en-ucuz-amd-athlon-3000g-3-5ghz-24-soket-am4-5mb-vega-3-gpu-14nm-35w-islemci-fiyatlari,451059534",AMD Athlon 3000G 3.5GHz 2/4 Soket AM4 5MB Vega 3 GPU 14nm 35W İşlemci,1148.99,1301.0,4.478,3,167,167,134
Ryzen 7,AMD Ryzen 7,AMD Ryzen 7 3800X,3.Nesil,4.5,8.0,3.9,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-3800x-3-9-4-5-ghz-am4-islemci-fiyatlari,300030161",AMD Ryzen 7 3800X 3.90 GHz 8 Çekirdekli İşlemci,7498.0,8116.0,23.274,0,11,191,76
Core i5,Intel Core,Intel Core i5-12600K,12.Nesil,4.9,10.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-i5-12600k-2-8-ghz-4-9-ghz-20mb-lga1700p-islemci-fiyatlari,991263770",Intel i5-12600K 2.8 GHz 4.9 GHz 20MB LGA1700P İşlemci,6299.0,7113.0,27.789,0,44,351,189
Core i9,Intel Core,Intel Core i9-13900K,13.Nesil,5.8,24.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-core-i9-13900k-3-0-ghz-turbo-5-80-ghz-36-mb-cache-24-cekirdek-lga-1700-13-nesil-islemci-fiyatlari,2077398742",Intel Core i9 13900K 3.0 GHz Turbo 5.80 GHz 36 MB Cache 24 Çekirdek LGA 1700 13. Nesil İşlemci,13399.0,14039.0,60.088,2,116,116,157
Core i5,Intel Core,Intel Core i5-12400,12.Nesil,4.4,6.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12400-4-40-ghz-6-cekirdek-18mb-1700p-10mm-islemci-fiyatlari,1198880782",Intel Core i5 12400 4.40 GHz 6 Çekirdek 18MB 1700P 10MM İşlemci,3765.0,4321.0,19.532,6,110,335,46
