Bellek Boyutu(GB),İşlemci Üreticisi,Ekran Kartı Modeli,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ekran Kartı Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
8.0,AMD,Radeon RX 6600 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-gigabyte-radeon-rx-6600-xt-gaming-oc-8g-8-gb-gddr6-128-bit-ekran-karti-fiyatlari,1372177032",Gigabyte Radeon RX 6600 XT Gaming OC 8G 8 GB GDDR6 128 Bit Ekran KartI,7199.0,11247.0,16.313,2,107,413,344
10.0,NVIDIA,GeForce RTX 3080,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3080-ventus-3x-oc-10gb-gddr6x-320-bit-ekran-karti-fiyatlari,674202000",MSI GeForce RTX 3080 Ventus 3X OC 10GB GDDR6X 320 Bit Ekran Kartı,19999.0,21710.0,25.389,2,27,429,285
8.0,NVIDIA,GeForce RTX 3050,"https://www.cimri.com/ekran-kartlari/en-ucuz-gigabyte-geforce-rtx-3050-gaming-oc-8g-gv-n3050gaming-oc-8gd-8-gb-gddr6-128-bit-ekran-karti-fiyatlari,1325622678",Gigabyte GeForce RTX 3050 Gaming OC 8G GV-N3050GAMING OC-8GD 8 GB GDDR6 128 Bit Ekran Kartı,6999.0,10539.0,12.709,0,108,10,129
8.0,AMD,Radeon RX 6600 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-dual-rx6600xt-o8g-8gb-128bit-gddr6-dp-hdmi-pci-4-0-ekran-karti-fiyatlari,1154493483",Asus DUAL-RX6600XT-O8G 8GB 128Bit GDDR6 DP HDMI PCI 4.0 Ekran Kartı,8336.67,9039.0,16.313,2,63,377,533
4.0,NVIDIA,GeForce GTX 1050 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-palit-ne5105t018g1-1070f-nvidia-geforce-gtx1050ti-stormx-4gb-128bit-dx12-pci-e-3-0-gddr5-ekran-karti-fiyatlari,875651459",Palit NE5105T018G1-1070F Nvidia GeForce GTX1050Ti StormX 4GB 128Bit DX12 PCI-e 3.0 GDDR5 Ekran Kartı,3856.91,4138.0,6.296,0,408,177,347
8.0,NVIDIA,GeForce RTX 3070,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-dual-geforce-rtx-3070-oc-dual-rtx3070-o8g-8gb-gddr6-256bit-dx12-gaming-ekran-karti-fiyatlari,671076592",Asus Dual GeForce RTX 3070 OC DUAL-RTX3070-O8G 8GB GDDR6 256Bit DX12 Gaming Ekran Kartı,15343.35,15999.0,22.449,2,148,67,86
8.0,AMD,Radeon RX 6600,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-radeon-rx-6600-dual-8-g-8-gb-gddr6-128-bit-ekran-karti-fiyatlari,976450941",Asus Radeon RX 6600 Dual 8 G 8 GB GDDR6 128 Bit Ekran Kartı,7248.15,7365.0,14.941,2,497,309,456
8.0,AMD,Radeon RX 580,"https://www.cimri.com/ekran-kartlari/en-ucuz-afox-radeon-rx580-2048sp-afrx580-8192d5h3-v2-8-gb-gddr5-256-bit-dx12-ekran-karti-fiyatlari,1346860762",Afox Radeon RX580 2048SP AFRX580-8192D5H3-V2 8 GB Gddr5 256 BIT DX12 Ekran Kartı,3972.15,6595.0,8.928,0,151,84,373
10.0,NVIDIA,GeForce RTX 3080,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3080-gaming-z-trio-lhr-10gb-gddr6x-320bit-nvidia-ekran-karti-fiyatlari,891472564",MSI GEFORCE RTX 3080 GAMING Z TRIO LHR 10GB GDDR6X 320Bit NVIDIA Ekran Kartı,22141.51,23318.0,25.389,2,285,222,419
8.0,NVIDIA,GeForce RTX 3070 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3070-ti-ventus-3x-8gb-oc-256bit-gddr6x-pci-express-x16-ekran-karti-geforce-rtx-3070-ti-ventus-3x-8g-oc-fiyatlari,888411615",MSI GeForce RTX 3070 TI VENTUS 3X 8GB OC 256Bit GDDR6X PCI-Express x16 Ekran Kartı (GeForce RTX 3070 TI VENTUS 3X 8G OC),16301.17,19390.0,23.741,2,86,539,438
16.0,AMD,Radeon RX 6800 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-radeon-tuf-rx6800xt-o16g-gaming-16gb-gddr6-256bit-2340mhz-oc-1xhdmi-3xdp-ekran-karti-fiyatlari,970601931",ASUS RADEON TUF-RX6800XT-O16G-GAMING 16GB GDDR6 256bit 2340MHz OC 1xHDMI 3xDP EKRAN KARTI,16199.0,18129.0,24.655,2,17,465,194
