Temel Frekans(GHz),Çekirdek,Arttırılmış Frekans(GHz),Medyan Fiyat,İşlemci Skoru
0.42000000000000004,0.125,0.48275862068965525,0.015947831361844102,0.020155384615384617
0.3,0.041666666666666664,0.25862068965517243,0.008413709432817712,0.005044615384615384
0.45999999999999996,0.041666666666666664,0.396551724137931,0.010124355474673946,0.05983384615384615
0.43999999999999995,0.2916666666666667,0.5172413793103448,0.027036700030330603,0.036116923076923074
0.36,0.125,0.31034482758620685,0.011464968152866241,0.046163076923076925
0.33999999999999997,0.125,0.46551724137931033,0.01898089171974522,0.01949692307692308
0.3,0.125,0.31034482758620685,0.008474370639975736,0.007961538461538461
0.33999999999999997,0.20833333333333334,0.5517241379310345,0.04134061267819229,0.031132307692307692
0.4,0.4583333333333333,0.5862068965517241,0.054704276615104644,0.051726153846153845
0.18,0.20833333333333334,0.48275862068965525,0.027691841067637245,0.02830153846153846
0.36,0.20833333333333334,0.48275862068965525,0.02795268425841674,0.026855384615384614
0.25999999999999995,0.2916666666666667,0.5517241379310345,0.03591143463754929,0.05983384615384615
0.32,0.625,0.6206896551724138,0.07113739763421292,0.06223538461538461
0.27999999999999997,0.9583333333333334,0.7241379310344827,0.08369426751592357,0.0901923076923077
0.4,0.20833333333333334,0.4482758620689655,0.024452532605398848,0.02562769230769231
0.42000000000000004,0.375,0.5689655172413793,0.04420988777676676,0.04100461538461539
0.43999999999999995,0.2916666666666667,0.5344827586206897,0.03456475583864119,0.04146153846153846
0.36,0.625,0.5689655172413793,0.08846830451925994,0.06885076923076923
0.4,0.2916666666666667,0.5862068965517241,0.05361844100697604,0.07060615384615385
0.42000000000000004,0.375,0.6379310344827586,0.06854109796784956,0.0901923076923077
0.48,0.041666666666666664,0.41379310344827586,0.01091901728844404,0.008666153846153846
0.62,0.2916666666666667,0.5344827586206897,0.0599939338792842,0.03476615384615385
0.1,0.7916666666666666,0.41379310344827586,0.3502942068547164,0.3982523076923076
0.13999999999999996,0.625,0.396551724137931,0.23239308462238398,0.3982523076923076
0.45999999999999996,0.20833333333333334,0.5689655172413793,0.035565665756748556,0.057321538461538465
0.18,0.2916666666666667,0.6206896551724138,0.06678192296026692,0.07635230769230769
