Ekran Boyutu,İşletim Sistemi,Ekran Çözünürlüğü,Ekran Panel Tipi,Ekran Çözünürlük Biçimi,Ağırlık,Ram(Bellek) Boyutu,İşlemci Modeli,İşlemci Arttırılmış Frekans,İşlemci Çekirdek Sayısı,İşlemci Markası,İşlemci Temel Frekans,İşlemci Önbelleği,Ram(Bellek) Türü,SSD Boyutu,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ram(Bellek) Frekansı,Sabit Disk(HDD) Boyutu,Harici Ekran Kartı Belleği,Harici Ekran Kartı Modeli
17.3 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.90 kg,16 GB,AMD Ryzen 7-6800H,4.70 GHz,8 Çekirdek,AMD,3.20 GHz,16 MB,DDR5,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-rog-strix-g713rw-kh095a20-amd-ryzen-7-6800h-16gb-2tb-ssd-rtx3070ti-windows-11-pro-17-3-tasinabilir-bilgisayar-fiyatlari,2107470871",Asus ROG Strix G713RW-KH095A20 AMD Ryzen 7 6800H 16GB 2TB SSD RTX3070Ti Windows 11 Pro 17.3 Taşınabilir Bilgisayar,54149.0,54313,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070 Ti
17.3 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.90 kg,32 GB,AMD Ryzen 7-6800H,4.70 GHz,8 Çekirdek,AMD,3.20 GHz,16 MB,DDR5,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-rog-strix-g713rw-kh095a14-amd-ryzen-7-6800h-32gb-2tb-ssd-rtx3070ti-windows-10-home-17-3-tasinabilir-bilgisayar-fiyatlari,2107470879",Asus ROG Strix G713RW-KH095A14 AMD Ryzen 7 6800H 32GB 2TB SSD RTX3070Ti Windows 10 Home 17.3 Taşınabilir Bilgisayar,55389.0,55552,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070 Ti
15.6 İnç,Windows,3840x2160 Piksel,LED (IPS),UHD (4K),2.74 kg,,Intel Xeon W-10885M,5.30 GHz,8 Çekirdek,Intel,2.40 GHz,16 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20st0015tx-p15-mws-w-10885m-w10p-dizustu-bilgisayar-fiyatlari,778293069",Lenovo 20ST0015TX P15 Mws W-10885M W10P Dizüstü Bilgisayar,118189.87,119358,2933 MHz,,8 GB,NVIDIA Quadro RTX 4000 Max-Q
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,128 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx031-mws-thinkpad-p15-g2-i7-11800h-128-gb-2-tb-ssd-6-gb-rtx-a3000-windows-10-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209160",Lenovo 20YQ000STX031 Mws Thinkpad P15 G2 İ7-11800h 128 GB 2 TB SSD 6 GB Rtx A3000 Windows 10 Pro 15.6 inç Mobil İş İstasyonu,77827.97,79502,3200 MHz,,6 GB,NVIDIA RTX A3000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx037-mws-thinkpad-p17-g2-i7-11800h-40gb-500gb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090366761","Lenovo 20YU001XTX037 MWS ThinkPad P17 G2 i7-11800H 40GB 500GB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",63172.22,64531,3200 MHz,,4 GB,NVIDIA RTX A2000
17.3 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx029-mws-thinkpad-p17-g2-i7-11800h-40gb-2tb-ssd-4gb-a2000-w10p-17-3-is-istasyonu-fiyatlari,2090366934","Lenovo 20YU001XTX029 MWS ThinkPad P17 G2 i7-11800H 40GB 2TB SSD 4GB A2000 W10P 17.3"" İş İstasyonu",66737.79,68173,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,128 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx039-mws-thinkpad-p15-g2-i7-11800h-128-gb-500-gb-ssd-6-gb-rtx-a3000-windows-11-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209156",Lenovo 20YQ000STX039 Mws Thinkpad P15 G2 İ7-11800h 128 GB 500 GB SSD 6 GB Rtx A3000 Windows 11 Pro 15.6 inç Mobil İş İstasyonu,74508.3,76111,3200 MHz,,6 GB,NVIDIA RTX A3000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,64 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx062-mws-thinkpad-p17-g2-i7-11800h-64gb-2tb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090366584","Lenovo 20YU001XTX062 MWS ThinkPad P17 G2 i7-11800H 64GB 2TB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",68213.2,69680,3200 MHz,,4 GB,NVIDIA RTX A2000
17.3 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx006-mws-thinkpad-p17-g2-i7-11800h-40gb-500gb-ssd-4gb-a2000-w10p-17-3-is-istasyonu-fiyatlari,2090366802","Lenovo 20YU001XTX006 MWS ThinkPad P17 G2 i7-11800H 40GB 500GB SSD 4GB A2000 W10P 17.3"" İş İstasyonu",63172.22,64531,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,128 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx063-mws-thinkpad-p15-g2-i7-11800h-128-gb-2-tb-ssd-6-gb-rtx-a3000-windows-11-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209159",Lenovo 20YQ000STX063 Mws Thinkpad P15 G2 İ7-11800h 128 GB 2 TB SSD 6 GB Rtx A3000 Windows 11 Pro 15.6 inç Mobil İş İstasyonu,77827.97,79502,3200 MHz,,6 GB,NVIDIA RTX A3000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx061-mws-thinkpad-p17-g2-i7-11800h-40gb-2tb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090366822","Lenovo 20YU001XTX061 MWS ThinkPad P17 G2 i7-11800H 40GB 2TB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",66737.79,68173,3200 MHz,,4 GB,NVIDIA RTX A2000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,128 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx047-mws-thinkpad-p17-g2-i7-11800h-128gb-512gb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090369033","Lenovo 20YU001XTX047 MWS ThinkPad P17 G2 i7-11800H 128GB 512GB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",70303.37,71816,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,2.00 kg,64 GB,Intel Core i7-12650H,4.70 GHz,10 Çekirdek,Intel,2.30 GHz,24 MB,DDR5,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-tuf-dash-f15-fx517zr-hn013a33-intel-core-i7-12650h-64gb-2tb-ssd-rtx3070-15-6-tasinabilir-bilgisayar-fiyatlari,2104600374","Asus Tuf Dash F15 FX517ZR HN013A33 Intel Core i7 12650H 64GB 2TB SSD RTX3070 15.6"" Taşınabilir Bilgisayar",55769.0,59882,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070
15.6 inç,Windows,3456x2160 Piksel,OLED,QHD+,1.92 kg,32 GB,Intel Core i7-12700H,4.70 GHz,6 Çekirdek,Intel,3.50 GHz,24 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-xps-15-9520-xps159520adlp1300a4-i7-12700h-32-gb-1-tb-ssd-rtx3050ti-15-6-inc-qhd-w11p-tasinabilir-bilgisayar-fiyatlari,2020639495",Dell Xps 15 9520 Xps159520adlp1300A4 i7 12700h 32 gb 1 tb ssd Rtx3050Ti 15.6 inc Qhd + W11p Taşınabilir Bilgisayar,61989.0,79999,4800 MHz,,4 GB,NVIDIA GeForce RTX 3050 Ti
15.6 inç,Windows,3456x2160 Piksel,OLED,QHD+,1.92 kg,16 GB,Intel Core i7-12700H,4.70 GHz,6 Çekirdek,Intel,3.50 GHz,24 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-xps-15-9520-xps159520adlp1300a1-i7-12700h-16-gb-1-tb-ssd-rtx3050ti-15-6-inc-qhd-w11p-tasinabilir-bilgisayar-fiyatlari,2020639497",Dell Xps 15 9520 Xps159520adlp1300A1 i7 12700h 16 gb 1 tb ssd Rtx3050Ti 15.6 inc QHD+ W11P Taşınabilir Bilgisayar,74998.99,76766,4800 MHz,,4 GB,NVIDIA GeForce RTX 3050 Ti
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,24 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx034-mws-thinkpad-p17-g2-i7-11800h-24gb-500gb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090368190","Lenovo 20YU001XTX034 MWS ThinkPad P17 G2 i7-11800H 24GB 500GB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",62188.61,63526,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,128 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx023-mws-thinkpad-p15-g2-i7-11800h-128-gb-1-tb-ssd-6-gb-rtx-a3000-windows-10-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209162",Lenovo 20YQ000STX023 Mws Thinkpad P15 G2 İ7-11800h 128 GB 1 TB SSD 6 GB Rtx A3000 Windows 10 Pro 15.6 inç Mobil İş İstasyonu,75000.09,76613,3200 MHz,,6 GB,NVIDIA RTX A3000
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx013-mws-thinkpad-p15-g2-i7-11800h-40-gb-512-gb-ssd-6gb-rtx-a3000-windows-10-pro-15-6-mobil-is-istasyonu-fiyatlari,2090349479",Lenovo 20Yq000STX013 Mws Thinkpad P15 G2 İ7-11800h 40 Gb 512 Gb Ssd 6gb Rtx A3000 Windows 10 Pro 15.6 Mobil İş İstasyonu,67254.18,69344,3200 MHz,,6 GB,NVIDIA RTX A3000
17.3 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,32 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx011-mws-thinkpad-p17-g2-i7-11800h-32gb-512gb-ssd-4gb-a2000-w10p-17-3-is-istasyonu-fiyatlari,2090367791","Lenovo 20YU001XTX011 MWS ThinkPad P17 G2 i7-11800H 32GB 512GB SSD 4GB A2000 W10P 17.3"" İş İstasyonu",62434.5,64551,3200 MHz,,4 GB,NVIDIA RTX A2000
17.3 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,128 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx008-mws-thinkpad-p17-g2-i7-11800h-128gb-500gb-ssd-4gb-a2000-w10p-17-3-is-istasyonu-fiyatlari,2090369231","Lenovo 20YU001XTX008 MWS ThinkPad P17 G2 i7-11800H 128GB 500GB SSD 4GB A2000 W10P 17.3"" İş İstasyonu",70303.37,71816,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),FHD,1.79 kg,32 GB,Intel Core i9-11900H,4.90 GHz,8 Çekirdek,Intel,,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-314g4ea-zbook-studio-g8-intel-core-i9-11900h-32-gb-ram-512-gb-ssd-rtx-a2000-15-6-w10p-tasinabilir-bilgisayar-fiyatlari,1197610663","HP 314G4EA ZBook Studio G8 Intel Core i9-11900H 32 GB Ram 512 GB SSD RTX A2000 15.6"" W10P Taşınabilir Bilgisayar",66599.99,66640,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx021-mws-thinkpad-p15-g2-i7-11800h-40-gb-1-tb-ssd-6-gb-rtx-a3000-windows-10-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209225",Lenovo 20YQ000STX021 Mws Thinkpad P15 G2 İ7-11800h 40 GB 1 TB SSD 6 GB Rtx A3000 Windows 10 Pro 15.6 inç Mobil İş İstasyonu,69098.45,70585,3200 MHz,,6 GB,NVIDIA RTX A3000
15.6 inç,Windows,1920x1080 Piksel,LED (WVA),Full HD+,1.88 kg,16 GB,Intel Core i7-12800H,4.80 GHz,14 Çekirdek,Intel,,24 MB,DDR5,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-xctop5570emeavp-1-m5570-i7-12800h-15-6-16-gb-ram-512-gb-ssd-4g-wpro-dizustu-bilgisayar-fiyatlari,2066751223",Dell Xctop5570emea_vp-1 M5570 İ7-12800h 15.6'' 16 Gb Ram 512 Gb Ssd 4g Wpro Dizüstü Bilgisayar,57798.99,61829,4800 MHz,,4 GB,NVIDIA RTX A1000
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,40 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx029-mws-thinkpad-p15-g2-i7-11800h-40-gb-2-tb-ssd-6-gb-rtx-a3000-windows-10-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209223",Lenovo 20YQ000STX029 Mws Thinkpad P15 G2 İ7-11800h 40 GB 2 TB SSD 6 GB Rtx A3000 Windows 10 Pro 15.6 inç Mobil İş İstasyonu,71926.32,73473,3200 MHz,,6 GB,NVIDIA RTX A3000
15.6 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,64 GB,Intel Core i9-11950H,5.00 GHz,8 Çekirdek,Intel,2.60 GHz,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq001stx046-mws-thinkpad-p15-g2-i9-11950h-64gb-512gb-ssd-8gb-a4000-w11p-15-6-is-istasyonu-fiyatlari,2090370033","Lenovo 20YQ001STX046 MWS ThinkPad P15 G2 i9-11950H 64GB 512GB SSD 8GB A4000 W11P 15.6"" İş İstasyonu",93590.28,97167,3200 MHz,,8 GB,NVIDIA RTX A4000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,64 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx038-mws-thinkpad-p17-g2-i7-11800h-64gb-500gb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090366476","Lenovo 20YU001XTX038 MWS ThinkPad P17 G2 i7-11800H 64GB 500GB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",64647.63,66038,3200 MHz,,4 GB,NVIDIA RTX A2000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,16 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx048-mws-thinkpad-p17-g2-i7-11800h-16gb-1tb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090369227","Lenovo 20YU001XTX048 MWS ThinkPad P17 G2 i7-11800H 16GB 1TB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",61942.7,63275,3200 MHz,,4 GB,NVIDIA RTX A2000
17.3 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,3.56 kg,16 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yu001xtx040-mws-thinkpad-p17-g2-i7-11800h-16gb-512gb-ssd-4gb-a2000-w11p-17-3-is-istasyonu-fiyatlari,2090368725","Lenovo 20YU001XTX040 MWS ThinkPad P17 G2 i7-11800H 16GB 512GB SSD 4GB A2000 W11P 17.3"" İş İstasyonu",61450.9,62773,3200 MHz,,4 GB,NVIDIA RTX A2000
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,16 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx016-mws-thinkpad-p15-g2-i7-11800h-16-gb-1-tb-ssd-6-gb-a3000-w10p-15-6-inc-is-istasyonu-fiyatlari,2092201976",Lenovo 20YQ000STX016 MWS ThinkPad P15 G2 i7-11800H 16 GB 1 TB SSD 6 GB A3000 W10P 15.6 inç İş İstasyonu,67377.14,68826,3200 MHz,,6 GB,NVIDIA RTX A3000
14 inç,Windows,1920x1200 Piksel,LED (IPS),Full HD+,1.13 kg,16 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20xw00nftx013-thinkpad-x1-carbon-i7-1165g7-16-gb-2-tb-14-inc-wuxga-windows-11-home-dizustu-bilgisayar-fiyatlari,2092605064",Lenovo 20XW00NFTX013 ThinkPad X1 Carbon i7-1165G7 16 GB 2 TB 14 inç Wuxga Windows 11 Home Dizüstü Bilgisayar,51096.2,53207,3200 MHz,,,
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.00 kg,64 GB,Intel Core i7-12650H,4.70 GHz,10 Çekirdek,Intel,2.30 GHz,24 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-tuf-dash-f15-fx517zr-hn013a3-intel-core-i7-12650h-64gb-1tb-ssd-rtx3070-windows-10-pro-15-6-tasinabilir-bilgisayar-fiyatlari,2104600282","Asus Tuf Dash F15 FX517ZR HN013A3 Intel Core i7 12650H 64GB 1TB SSD RTX3070 Windows 10 Pro 15.6"" Taşınabilir Bilgisayar",55999.0,60133,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.00 kg,64 GB,Intel Core i7-12650H,4.70 GHz,10 Çekirdek,Intel,2.30 GHz,24 MB,DDR5,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-tuf-dash-f15-fx517zr-hn013a15-intel-core-i7-12650h-64gb-2tb-ssd-rtx3070-windows-10-home-15-6-tasinabilir-bilgisayar-fiyatlari,2104592522","Asus Tuf Dash F15 FX517ZR HN013A15 Intel Core i7 12650H 64GB 2TB SSD RTX3070 Windows 10 Home 15.6"" Taşınabilir Bilgisayar",57129.0,61341,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,16 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx001-mws-thinkpad-p15-g2-i7-11800h-16-gb-500-gb-ssd-6-gb-rtx-a3000-windows-10-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209134",Lenovo 20YQ000STX001 Mws Thinkpad P15 G2 İ7-11800h 16 GB 500 GB SSD 6 GB Rtx A3000 Windows 10 Pro 15.6 inç Mobil İş İstasyonu,66885.33,68324,3200 MHz,,6 GB,NVIDIA RTX A3000
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.00 kg,32 GB,Intel Core i7-12650H,4.70 GHz,10 Çekirdek,Intel,2.30 GHz,24 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-tuf-dash-f15-fx517zr-hn013a11-intel-core-i7-12650h-32gb-1tb-ssd-rtx3070-windows-10-home-15-6-tasinabilir-bilgisayar-fiyatlari,2104592478","Asus Tuf Dash F15 FX517ZR HN013A11 Intel Core i7 12650H 32GB 1TB SSD RTX3070 Windows 10 Home 15.6"" Taşınabilir Bilgisayar",51019.0,54786,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.00 kg,32 GB,Intel Core i7-12650H,4.70 GHz,10 Çekirdek,Intel,2.30 GHz,24 MB,DDR5,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-tuf-dash-f15-fx517zr-hn013a17-intel-core-i7-12650h-32gb-512gb-ssd-rtx3070-windows-10-home-15-6-tasinabilir-bilgisayar-fiyatlari,2104592539",Asus Tuf Dash F15 FX517ZR HN013A17 Intel Core i7 12650H 32GB 512GB SSD RTX3070 Windows 10 Home 15.6'' Taşınabilir Bilgisayar,50269.0,53982,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.00 kg,32 GB,Intel Core i7-12650H,4.70 GHz,10 Çekirdek,Intel,2.30 GHz,24 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-tuf-dash-f15-fx517zr-hn013a11-intel-core-i7-12650h-32gb-1tb-ssd-rtx3070-windows-10-home-15-6-tasinabilir-bilgisayar-fiyatlari,2104592478","Asus Tuf Dash F15 FX517ZR HN013A11 Intel Core i7 12650H 32GB 1TB SSD RTX3070 Windows 10 Home 15.6"" Taşınabilir Bilgisayar",51019.0,54786,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,16 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx024-mws-thinkpad-p15-g2-i7-11800h-16-gb-2-tb-ssd-6-gb-rtx-a3000-windows-10-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209142",Lenovo 20YQ000STX024 Mws Thinkpad P15 G2 İ7-11800h 16 GB 2 TB SSD 6 GB Rtx A3000 Windows 10 Pro 15.6 inç Mobil İş İstasyonu,70205.01,71715,3200 MHz,,6 GB,NVIDIA RTX A3000
15.6 inç,Windows 11 Pro,1920x1080 Piksel,LED (IPS),Full HD,2.87 kg,36 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,2.30 GHz,24 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20yq000stx060-mws-thinkpad-p15-g2-i7-11800h-36-gb-2-tb-ssd-6-gb-rtx-a3000-windows-11-pro-15-6-inc-mobil-is-istasyonu-fiyatlari,2092209238",Lenovo 20YQ000STX060 Mws Thinkpad P15 G2 İ7-11800h 36 GB 2 TB SSD 6 GB Rtx A3000 Windows 11 Pro 15.6 inç Mobil İş İstasyonu,71557.47,73097,3200 MHz,,6 GB,NVIDIA RTX A3000
17.3 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.90 kg,32 GB,AMD Ryzen 7-6800H,4.70 GHz,8 Çekirdek,AMD,3.20 GHz,16 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-rog-strix-g713rw-kh095a4-amd-ryzen-7-6800h-32gb-1tb-ssd-rtx3070ti-windows-10-pro-17-3-tasinabilir-bilgisayar-fiyatlari,2107470528",Asus ROG Strix G713RW-KH095A4 AMD Ryzen 7 6800H 32GB 1TB SSD RTX3070Ti Windows 10 Pro 17.3 Taşınabilir Bilgisayar,54269.0,54435,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070 Ti
17.3 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,2.90 kg,64 GB,AMD Ryzen 7-6800H,4.70 GHz,8 Çekirdek,AMD,3.20 GHz,16 MB,DDR5,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-rog-strix-g713rw-kh095a7-amd-ryzen-7-6800h-64gb-1tb-ssd-rtx3070ti-windows-10-pro-17-3-tasinabilir-bilgisayar-fiyatlari,2107470522",Asus ROG Strix G713RW-KH095A7 AMD Ryzen 7 6800H 64GB 1TB SSD RTX3070Ti Windows 10 Pro 17.3 Taşınabilir Bilgisayar,58879.0,59030,4800 MHz,,8 GB,NVIDIA GeForce RTX 3070 Ti
